run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,20,0.1,1,16.9,0.36224999999999996,0.019350000000000006,0.3429,0.3816,0.4089,0.046650000000000025,0.3647,0.4092,0.6056,0.43642077845406974,0.6058,0.4425597221513911,0.3429,0.3816,mobilenet,0.3429,0.3374,2.606042182919654,2.236663121052764,0.3693790609779006,resnet32,0.3816,0.392,2.3826096753843804,2.005197824232958,0.3774118483151225,4500000.0,0.0,18000000.0,378000000.0,756000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,21,0.1,1,16.6,0.35729999999999995,0.0169,0.3404,0.3742,0.3993,0.04200000000000004,0.3516,0.3962,0.609,0.4580471916318423,0.6034,0.4793813297684627,0.3404,0.3742,mobilenet,0.3404,0.3346,2.589882550930435,2.219679604707794,0.3702029445716603,resnet32,0.3742,0.3686,2.3775315912948414,2.0009388744153758,0.3765927200120958,4500000.0,0.0,18000000.0,396000000.0,792000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,22,0.1,1,16.89,0.3546,0.050199999999999995,0.3044,0.4048,0.415,0.060399999999999954,0.35609999999999997,0.4136,0.6534,0.41597887532670175,0.6537,0.43998743479560876,0.3044,0.4048,mobilenet,0.3044,0.3044,2.583296475762671,2.2153125407004897,0.36798393667082896,resnet32,0.4048,0.4078,2.3708967351439325,1.9959867136044935,0.37491002306342125,4500000.0,0.0,18000000.0,414000000.0,828000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,23,0.1,1,16.78,0.36265000000000003,0.008549999999999974,0.3541,0.3712,0.3941,0.03144999999999998,0.3579,0.3886,0.5624,0.5321570070740875,0.5599,0.5295741741598163,0.3541,0.3712,mobilenet,0.3541,0.3472,2.584422852505337,2.209692618555643,0.3747302377173169,resnet32,0.3712,0.3686,2.363479255444624,1.9802280683070421,0.3832511878995733,4500000.0,0.0,18000000.0,432000000.0,864000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,24,0.1,1,16.74,0.3698,0.04100000000000001,0.3288,0.4108,0.4074,0.03759999999999997,0.365,0.4036,0.5774,0.5156086035432396,0.5725,0.5219310315108685,0.3288,0.4108,mobilenet,0.3288,0.3252,2.572592344135046,2.198791864920746,0.37380048107694497,resnet32,0.4108,0.4048,2.353102245283398,1.9713327864354306,0.3817694593136283,4500000.0,0.0,18000000.0,450000000.0,900000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,25,0.1,1,16.66,0.37145,0.03344999999999998,0.338,0.4049,0.419,0.04754999999999998,0.3724,0.4212,0.5934,0.4795231725840815,0.6024,0.490720827073147,0.338,0.4049,mobilenet,0.338,0.3428,2.5687889211218464,2.193257250399752,0.3755316687747836,resnet32,0.4049,0.402,2.344264956021851,1.9610080681741238,0.38325688475742936,4500000.0,0.0,18000000.0,468000000.0,936000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,26,0.1,1,16.62,0.3762,0.049199999999999994,0.327,0.4254,0.4195,0.043300000000000005,0.3744,0.4148,0.6304,0.4579508052863518,0.6301,0.47252480194411245,0.327,0.4254,mobilenet,0.327,0.3216,2.56359365074472,2.1914223083718256,0.3721713424998928,resnet32,0.4254,0.4272,2.34014564295384,1.9600795283913612,0.38006611761044373,4500000.0,0.0,18000000.0,486000000.0,972000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,27,0.1,1,16.6,0.37534999999999996,0.05815000000000001,0.3172,0.4335,0.4324,0.057050000000000045,0.36629999999999996,0.4172,0.6202,0.4410418189002529,0.617,0.45482252550568986,0.3172,0.4335,mobilenet,0.3172,0.3102,2.5714871426197616,2.195071175863797,0.37641595981337805,resnet32,0.4335,0.4224,2.3452347034419123,1.9600085448473692,0.38522615855221043,4500000.0,0.0,18000000.0,504000000.0,1008000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,28,0.1,1,16.52,0.3581,0.001899999999999985,0.3562,0.36,0.4015,0.04340000000000005,0.3594,0.4024,0.6406,0.4032099971058006,0.6458,0.4118504273835143,0.3562,0.36,mobilenet,0.3562,0.3592,2.578082430430434,2.1986670702357185,0.37941536036404694,resnet32,0.36,0.3596,2.3404548268087884,1.9524924992160364,0.38796232496811583,4500000.0,0.0,18000000.0,522000000.0,1044000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,29,0.1,1,16.72,0.3607,0.048100000000000004,0.3126,0.4088,0.4101,0.0494,0.34650000000000003,0.3928,0.6386,0.4402615622533934,0.6271,0.45113833751712257,0.3126,0.4088,mobilenet,0.3126,0.292,2.5663383559069852,2.1884195992553774,0.37791875491596083,resnet32,0.4088,0.401,2.34505469978533,1.959336220202121,0.3857184800488705,4500000.0,0.0,18000000.0,540000000.0,1080000000.0
