run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,20,0.1,0,33.27,0.37534999999999996,0.06365000000000001,0.3117,0.439,0.4587,0.08335000000000004,0.3621,0.4474,0.7166,0.31249482293275305,0.7066,0.3409133094603312,0.3117,0.439,wrn28x10,0.439,0.4244,1.5620768109167165,1.5620768109167165,0.0,mobilenet,0.3117,0.2998,2.388619049198248,2.388619049198248,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,21,0.1,0,32.33,0.3902,0.09310000000000002,0.2971,0.4833,0.486,0.0958,0.38639999999999997,0.4788,0.6666,0.3910199212981528,0.6636,0.39810114986281525,0.2971,0.4833,wrn28x10,0.4833,0.4794,1.5399455759166316,1.5399455759166316,0.0,mobilenet,0.2971,0.2934,2.376693471588872,2.376693471588872,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,22,0.1,0,32.25,0.32230000000000003,0.02990000000000001,0.2924,0.3522,0.3773,0.05499999999999999,0.3147,0.3678,0.7334,0.36954270779153553,0.737,0.3623007603932109,0.2924,0.3522,wrn28x10,0.3522,0.3468,1.5466132189401172,1.5466132189401172,0.0,mobilenet,0.2924,0.2826,2.36868588287722,2.36868588287722,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,23,0.1,0,32.9,0.37685,0.04185,0.335,0.4187,0.4389,0.062049999999999994,0.37629999999999997,0.4456,0.6814,0.3526012899978053,0.6825,0.3531624079008266,0.335,0.4187,wrn28x10,0.4187,0.4238,1.5353380750695413,1.5353380750695413,0.0,mobilenet,0.335,0.3288,2.370266777039929,2.370266777039929,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,24,0.1,0,32.52,0.29355,0.11644999999999998,0.1771,0.41,0.4114,0.11785000000000001,0.28650000000000003,0.4106,0.846,0.24580976135680757,0.8396,0.2571860840692963,0.1771,0.41,wrn28x10,0.41,0.403,1.5372950521043756,1.5372950521043756,0.0,mobilenet,0.1771,0.17,2.3651713730598036,2.3651713730598036,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,25,0.1,0,32.33,0.3528,0.0685,0.2843,0.4213,0.431,0.07819999999999999,0.35660000000000003,0.432,0.7124,0.35531000952786396,0.7188,0.3435766024180391,0.2843,0.4213,wrn28x10,0.4213,0.4252,1.518436998975548,1.518436998975548,0.0,mobilenet,0.2843,0.288,2.357561760836027,2.357561760836027,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,26,0.1,0,32.34,0.3866,0.11120000000000002,0.2754,0.4978,0.5006,0.11400000000000005,0.37829999999999997,0.4888,0.7266,0.28652265038526875,0.7227,0.30133950722035685,0.2754,0.4978,wrn28x10,0.4978,0.4822,1.5249484988268127,1.5249484988268127,0.0,mobilenet,0.2754,0.2744,2.3639391653917055,2.3639391653917055,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,27,0.1,0,32.32,0.3715,0.042700000000000016,0.3288,0.4142,0.4399,0.06840000000000002,0.3647,0.4386,0.6996,0.3503786994295325,0.6964,0.3561342853056667,0.3288,0.4142,wrn28x10,0.4142,0.4152,1.5173851874741642,1.5173851874741642,0.0,mobilenet,0.3288,0.3142,2.3592963223768906,2.3592963223768906,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,28,0.1,0,32.71,0.3349,0.060700000000000004,0.2742,0.3956,0.407,0.0721,0.3377,0.4112,0.7244,0.3268765746965826,0.7242,0.3453147240977949,0.2742,0.3956,wrn28x10,0.3956,0.3994,1.512043923986229,1.512043923986229,0.0,mobilenet,0.2742,0.276,2.3545401131903585,2.3545401131903585,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,29,0.1,0,32.87,0.37075,0.05015,0.3206,0.4209,0.439,0.06824999999999998,0.3712,0.4414,0.668,0.37328571987331277,0.6649,0.3856496078494672,0.3206,0.4209,wrn28x10,0.4209,0.4236,1.5002400687133723,1.5002400687133723,0.0,mobilenet,0.3206,0.3188,2.3493624109436166,2.3493624109436166,0.0,0.0,0.0,0.0,0.0,0.0
