run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,20,0.1,0,14.62,0.2813,0.0005999999999999894,0.2807,0.2819,0.3122,0.030899999999999983,0.2857,0.318,0.657,0.45756358927057583,0.6601,0.4831121157855024,0.2813,mobilenet,0.2819,0.2846,2.4049935422160407,2.4049935422160407,0.0,mobilenet,0.2807,0.2868,2.3869372552091424,2.3869372552091424,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,21,0.1,0,14.77,0.29945,0.009649999999999992,0.2898,0.3091,0.3478,0.048350000000000004,0.3022,0.3406,0.7022,0.3965499494207472,0.6973,0.40172897365378835,0.29945,mobilenet,0.2898,0.2872,2.398390918123451,2.398390918123451,0.0,mobilenet,0.3091,0.3172,2.383910696784204,2.383910696784204,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,22,0.1,0,15.2,0.24365,0.015750000000000014,0.2279,0.2594,0.2756,0.031950000000000006,0.2439,0.2726,0.7226,0.43644116475218175,0.7246,0.44535526226920363,0.24365,mobilenet,0.2594,0.262,2.390170505270362,2.390170505270362,0.0,mobilenet,0.2279,0.2258,2.384878761050376,2.384878761050376,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,23,0.1,0,15.09,0.3018,0.0,0.3018,0.3018,0.3362,0.034399999999999986,0.2822,0.3158,0.6576,0.42832774049698075,0.6517,0.4333625858711916,0.3018,mobilenet,0.3018,0.2818,2.384882556613196,2.384882556613196,0.0,mobilenet,0.3018,0.2826,2.37676857361062,2.37676857361062,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,24,0.1,0,15.43,0.2819,0.060899999999999996,0.221,0.3428,0.3261,0.04420000000000002,0.2793,0.322,0.7124,0.4127349106268784,0.7118,0.40286980191559496,0.2819,mobilenet,0.221,0.215,2.38050023754212,2.38050023754212,0.0,mobilenet,0.3428,0.3436,2.3769679245623676,2.3769679245623676,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,25,0.1,0,14.34,0.29455,0.0015499999999999958,0.293,0.2961,0.3295,0.03495000000000004,0.28590000000000004,0.3268,0.6698,0.41976540669877543,0.6589,0.44344803070359595,0.29455,mobilenet,0.2961,0.2908,2.3816218757155267,2.3816218757155267,0.0,mobilenet,0.293,0.281,2.3642912813546983,2.3642912813546983,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,26,0.1,0,14.18,0.30085,0.0011499999999999844,0.2997,0.302,0.3483,0.04744999999999999,0.2995,0.3514,0.7246,0.3856081876065464,0.7173,0.3940838758421572,0.30085,mobilenet,0.302,0.2988,2.3779927339743483,2.3779927339743483,0.0,mobilenet,0.2997,0.3002,2.373255331407894,2.373255331407894,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,27,0.1,0,15.1,0.31005,0.01824999999999999,0.2918,0.3283,0.3639,0.05385000000000001,0.3079,0.3674,0.721,0.3439191399760057,0.7252,0.35743126871435915,0.31005,mobilenet,0.3283,0.3352,2.3787781819701195,2.3787781819701195,0.0,mobilenet,0.2918,0.2806,2.3747555682943626,2.3747555682943626,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,28,0.1,0,16.44,0.2814,0.010800000000000004,0.2706,0.2922,0.312,0.030600000000000016,0.2861,0.3136,0.6206,0.4878060044383086,0.6291,0.4812393843272805,0.2814,mobilenet,0.2922,0.2932,2.3651983980089426,2.3651983980089426,0.0,mobilenet,0.2706,0.279,2.365846879102967,2.365846879102967,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,29,0.1,0,16.48,0.3142,0.0121,0.3021,0.3263,0.3598,0.04560000000000003,0.3117,0.3616,0.697,0.37272880233185424,0.6827,0.41259154049897784,0.3142,mobilenet,0.3263,0.3264,2.3700309568508104,2.3700309568508104,0.0,mobilenet,0.3021,0.297,2.37445119632916,2.37445119632916,0.0,0.0,0.0,0.0,0.0,0.0
