run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,20,0.1,0,17.39,0.37770000000000004,0.0637,0.314,0.4414,0.4457,0.06799999999999995,0.36819999999999997,0.4384,0.6682,0.38597456493706384,0.6625,0.40701571556370303,0.314,0.4414,mobilenet,0.314,0.2998,2.3754906432533804,2.3754906432533804,0.0,resnet32,0.4414,0.4366,1.8736681442030452,1.8736681442030452,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,21,0.1,0,17.53,0.34965,0.03945000000000001,0.3102,0.3891,0.4022,0.052549999999999986,0.3422,0.3924,0.6302,0.45900794489488517,0.6345,0.44917578401558433,0.3102,0.3891,mobilenet,0.3102,0.2982,2.3654686927118083,2.3654686927118083,0.0,resnet32,0.3891,0.3862,1.8682519801977007,1.8682519801977007,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,22,0.1,0,17.71,0.35914999999999997,0.04955000000000001,0.3096,0.4087,0.4094,0.05025000000000002,0.3549,0.4048,0.687,0.38396086570899957,0.6751,0.41124322997070534,0.3096,0.4087,mobilenet,0.3096,0.3034,2.367240813814781,2.367240813814781,0.0,resnet32,0.4087,0.4064,1.867700963535092,1.867700963535092,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,23,0.1,0,17.77,0.3255,0.06559999999999999,0.2599,0.3911,0.3831,0.057599999999999985,0.318,0.3772,0.7366,0.3214073055578503,0.7378,0.33432070804926595,0.2599,0.3911,mobilenet,0.2599,0.2562,2.36025770127096,2.36025770127096,0.0,resnet32,0.3911,0.3798,1.8579369331286713,1.8579369331286713,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,24,0.1,0,18.19,0.30175,0.05385000000000001,0.2479,0.3556,0.3641,0.06234999999999996,0.3022,0.3598,0.7666,0.3060743636887036,0.7684,0.3190500107108312,0.2479,0.3556,mobilenet,0.2479,0.2528,2.3527868120846422,2.3527868120846422,0.0,resnet32,0.3556,0.3516,1.857079386880452,1.857079386880452,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,25,0.1,0,16.85,0.35295,0.03284999999999999,0.3201,0.3858,0.4126,0.059650000000000036,0.3488,0.4068,0.6948,0.3695767320544412,0.6883,0.38577102120976253,0.3201,0.3858,mobilenet,0.3201,0.3224,2.3579194364561276,2.3579194364561276,0.0,resnet32,0.3858,0.3752,1.8543960294601591,1.8543960294601591,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,26,0.1,0,18.37,0.37095,0.07114999999999999,0.2998,0.4421,0.4332,0.06224999999999997,0.3654,0.43,0.6472,0.448173430340452,0.6506,0.4362164631535473,0.2998,0.4421,mobilenet,0.2998,0.3034,2.36447133902799,2.36447133902799,0.0,resnet32,0.4421,0.4274,1.8560438476164232,1.8560438476164232,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,27,0.1,0,16.96,0.3764,0.04899999999999999,0.3274,0.4254,0.4417,0.06529999999999997,0.3669,0.4322,0.6774,0.3656229705687228,0.6771,0.3716456424719231,0.3274,0.4254,mobilenet,0.3274,0.3246,2.3536725101823155,2.3536725101823155,0.0,resnet32,0.4254,0.4092,1.839617870748043,1.839617870748043,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,28,0.1,0,17.09,0.34809999999999997,0.0532,0.2949,0.4013,0.4131,0.06500000000000006,0.3439,0.4056,0.6918,0.3747647309256968,0.6947,0.3751763488382756,0.2949,0.4013,mobilenet,0.2949,0.2954,2.355518473989584,2.355518473989584,0.0,resnet32,0.4013,0.3924,1.8392287152396007,1.8392287152396007,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,29,0.1,0,16.25,0.38234999999999997,0.03405,0.3483,0.4164,0.4381,0.05575000000000002,0.3774,0.423,0.6128,0.43293693442768255,0.6237,0.42181232923175765,0.3483,0.4164,mobilenet,0.3483,0.3472,2.344475835392421,2.344475835392421,0.0,resnet32,0.4164,0.4076,1.8350982288406654,1.8350982288406654,0.0,0.0,0.0,0.0,0.0,0.0
